ID,Day,Hour,Day_of_the_Week,Channel,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Conversions,,Channel,,,Hour,Facebook,Impr. Facebook,Google Search,Impr. Google Search,Youtube,Impr. Youtube,Snapchat,Impr. Snapchat,TikTok,Impr. Snapchat
BXJDHA00024664,10/11/2018,05,sábado,Google Search,2702515,1448157,1334935,1398,"$2.495,68",27,,,,,,,,,,,,,,,
BXJDHA00010849,28/10/2018,03,domingo,Google Search,3030098,1527212,1423232,1466,"$2.615,18",22,,,,,,,,,,,,,,,
BXJDHA00010756,28/10/2018,05,domingo,Google Search,2754473,1382641,1288935,1519,"$2.699,83",29,,,,,,,,,,,,,,,
BXJDHA00020157,23/10/2018,05,terça-feira,Google Search,2479689,1383117,1307971,1439,"$2.556,22",49,,,,,,,,,,,,,,,
BXJDHA00019062,24/10/2018,04,quarta-feira,Google Search,2356918,1272732,1191822,1137,"$2.015,79",35,,,,,,,,,,,,,,,
BXJDHA00021349,30/10/2018,04,terça-feira,Google Search,2230348,1203541,1108481,1176,"$2.080,37",18,,,,,,,,,,,,,,,
BXJDHA00010023,16/10/2018,04,terça-feira,Google Search,2125403,1167627,1103170,1102,"$1.949,27",37,,,,,,,,,,,,,,,
BXJDHA00025307,15/10/2018,05,segunda-feira,Google Search,2457981,1310371,1247111,1359,"$2.403,86",16,,,,,,,,,,,,,,,
BXJDHA00025669,19/10/2018,05,sexta-feira,Google Search,2161945,1190686,1118056,1236,"$2.184,68",19,,,,,,,,,,,,,,,
BXJDHA00021365,30/10/2018,02,terça-feira,Google Search,3624852,2163463,2035165,2242,"$3.962,18",27,,,,,,,,,,,,,,,
BXJDHA00012462,03/11/2018,05,sábado,Google Search,2056595,1208235,1151691,1235,"$2.170,13",38,,,,,,,,,,,,,,,
BXJDHA00009317,09/10/2018,05,terça-feira,Google Search,2630983,1390492,1320487,1336,"$2.346,90",16,,,,,,,,,,,,,,,
BXJDHA00021430,30/10/2018,03,terça-feira,Google Search,2605749,1462240,1352294,1529,"$2.682,78",29,,,,,,,,,,,,,,,
BXJDHA00010144,18/10/2018,06,quinta-feira,Google Search,3360707,1979848,1883497,2446,"$4.285,39",46,,,,,,,,,,,,,,,
BXJDHA00022477,12/11/2018,05,segunda-feira,Google Search,2622672,1505053,1393641,1528,"$2.665,07",23,,,,,,,,,,,,,,,
BXJDHA00020757,31/10/2018,05,quarta-feira,Google Search,2472453,1398642,1308417,1588,"$2.768,67",54,,,,,,,,,,,,,,,
BXJDHA00019575,26/10/2018,05,sexta-feira,Google Search,2497070,1303075,1219523,1424,"$2.482,49",48,,,,,,,,,,,,,,,
BXJDHA00018181,10/10/2018,05,quarta-feira,Google Search,2571012,1380226,1308999,1452,"$2.525,11",22,,,,,,,,,,,,,,,
BXJDHA00013292,11/11/2018,04,domingo,Google Search,2354496,1271076,1185650,1281,"$2.224,80",35,,,,,,,,,,,,,,,
BXJDHA00019855,22/10/2018,03,segunda-feira,Google Search,2643395,1507711,1424190,1354,"$2.349,60",20,,,,,,,,,,,,,,,
BXJDHA00014095,21/11/2018,03,quarta-feira,Google Search,2737238,1609690,1512604,1671,"$2.893,33",25,,,,,,,,,,,,,,,
BXJDHA00023287,19/11/2018,02,segunda-feira,Google Search,3826146,2227356,2109398,2285,"$3.956,45",34,,,,,,,,,,,,,,,
BXJDHA00025285,15/10/2018,03,segunda-feira,Google Search,2690829,1479866,1400785,1431,"$2.475,82",21,,,,,,,,,,,,,,,
BXJDHA00021375,30/10/2018,06,terça-feira,Google Search,4203293,2460843,2323862,3197,"$5.529,76",109,,,,,,,,,,,,,,,
BXJDHA00023728,21/10/2018,03,domingo,Google Search,2631632,1465617,1379573,1406,"$2.431,14",27,,,,,,,,,,,,,,,
BXJDHA00010716,28/10/2018,02,domingo,Google Search,4053541,2211457,2088971,2286,"$3.937,41",71,,,,,,,,,,,,,,,
BXJDHA00019295,25/10/2018,03,quinta-feira,Google Search,3039339,1743576,1634276,1674,"$2.883,14",20,,,,,,,,,,,,,,,
BXJDHA00014346,18/11/2018,02,domingo,Google Search,3870574,2302031,2173741,2397,"$4.126,10",74,,,,,,,,,,,,,,,
BXJDHA00021985,29/10/2018,03,segunda-feira,Google Search,2664508,1501571,1402087,1423,"$2.444,15",21,,,,,,,,,,,,,,,
BXJDHA00022769,14/11/2018,05,quarta-feira,Google Search,2623280,1475357,1379705,1665,"$2.854,56",20,,,,,,,,,,,,,,,
BXJDHA00023051,13/11/2018,05,terça-feira,Google Search,2588320,1458581,1355886,1561,"$2.671,88",19,,,,,,,,,,,,,,,
BXJDHA00024093,17/10/2018,03,quarta-feira,Google Search,2615671,1509978,1433597,1462,"$2.502,22",50,,,,,,,,,,,,,,,
BXJDHA00024301,15/11/2018,04,quinta-feira,Google Search,2622025,1391239,1281244,1464,"$2.504,08",22,,,,,,,,,,,,,,,
BXJDHA00024556,10/11/2018,04,sábado,Google Search,2303426,1275437,1166565,1251,"$2.139,39",24,,,,,,,,,,,,,,,
BXJDHA00023099,13/11/2018,06,terça-feira,Google Search,4423091,2586209,2440717,3223,"$5.510,95",39,,,,,,,,,,,,,,,
BXJDHA00018407,11/10/2018,05,quinta-feira,Google Search,2456978,1289958,1220549,1351,"$2.306,65",16,,,,,,,,,,,,,,,
BXJDHA00019911,22/10/2018,06,segunda-feira,Google Search,3995967,2376878,2275382,2951,"$5.029,92",100,,,,,,,,,,,,,,,
BXJDHA00015154,22/11/2018,04,quinta-feira,Google Search,2483268,1309129,1220514,1376,"$2.342,28",26,,,,,,,,,,,,,,,
BXJDHA00013885,20/11/2018,06,terça-feira,Google Search,4520502,2663270,2525008,3450,"$5.872,64",52,,,,,,,,,,,,,,,
BXJDHA00013566,17/11/2018,04,sábado,Google Search,2160291,1216624,1123069,1180,"$2.006,16",37,,,,,,,,,,,,,,,
BXJDHA00020500,20/10/2018,04,sábado,Google Search,1918592,1163950,1080564,1092,"$1.856,09",21,,,,,,,,,,,,,,,
BXJDHA00014332,18/11/2018,01,domingo,Google Search,5834898,3593534,3436822,3934,"$6.673,27",75,,,,,,,,,,,,,,,
BXJDHA00023290,19/11/2018,06,segunda-feira,Google Search,4743634,2761476,2607085,3595,"$6.091,84",68,,,,,,,,,,,,,,,
BXJDHA00011127,27/10/2018,04,sábado,Google Search,2208752,1252911,1159471,1267,"$2.145,83",43,,,,,,,,,,,,,,,
BXJDHA00009381,09/10/2018,04,terça-feira,Google Search,2466437,1288236,1221574,1193,"$2.020,37",41,,,,,,,,,,,,,,,
BXJDHA00012489,03/11/2018,04,sábado,Google Search,1892390,1120917,1063603,1161,"$1.965,17",39,,,,,,,,,,,,,,,
BXJDHA00024551,10/11/2018,06,sábado,Google Search,4642148,2406574,2267871,3027,"$5.123,41",36,,,,,,,,,,,,,,,
BXJDHA00022015,29/10/2018,04,segunda-feira,Google Search,2229694,1207994,1120823,1218,"$2.059,67",18,,,,,,,,,,,,,,,
BXJDHA00023778,21/10/2018,06,domingo,Google Search,3953160,2366061,2262952,2805,"$4.734,27",87,,,,,,,,,,,,,,,
BXJDHA00009967,16/10/2018,05,terça-feira,Google Search,2261065,1267243,1199546,1363,"$2.300,17",20,,,,,,,,,,,,,,,
BXJDHA00020418,20/10/2018,03,sábado,Google Search,2353382,1469326,1380266,1434,"$2.404,07",44,,,,,,,,,,,,,,,
BXJDHA00021941,29/10/2018,02,segunda-feira,Google Search,3604210,2157678,2038732,2260,"$3.783,17",27,,,,,,,,,,,,,,,
BXJDHA00020531,20/10/2018,06,sábado,Google Search,3527643,2158005,2053360,2560,"$4.279,81",31,,,,,,,,,,,,,,,
BXJDHA00011258,04/11/2018,06,domingo,Google Search,4001577,2408439,2303747,2942,"$4.915,62",79,,,,,,,,,,,,,,,
BXJDHA00022729,14/11/2018,04,quarta-feira,Google Search,2344739,1307096,1215886,1358,"$2.267,82",20,,,,,,,,,,,,,,,
BXJDHA00025626,19/10/2018,04,sexta-feira,Google Search,2300540,1277048,1198730,1245,"$2.075,29",39,,,,,,,,,,,,,,,
BXJDHA00013613,17/11/2018,05,sábado,Google Search,2414832,1363471,1265478,1459,"$2.425,80",18,,,,,,,,,,,,,,,
BXJDHA00014884,24/11/2018,04,sábado,Google Search,2219556,1224363,1142647,1229,"$2.036,80",23,,,,,,,,,,,,,,,
BXJDHA00020100,23/10/2018,02,terça-feira,Google Search,3623679,2196313,2084674,2268,"$3.757,56",70,,,,,,,,,,,,,,,
BXJDHA00013568,17/11/2018,03,sábado,Google Search,2699102,1511905,1404513,1460,"$2.418,40",39,,,,,,,,,,,,,,,
BXJDHA00011646,08/11/2018,06,quinta-feira,Google Search,4114646,2356137,2222688,3128,"$5.176,29",97,,,,,,,,,,,,,,,
BXJDHA00010431,14/10/2018,04,domingo,Google Search,2254059,1200112,1132085,1181,"$1.954,08",40,,,,,,,,,,,,,,,
BXJDHA00019078,24/10/2018,06,quarta-feira,Google Search,4289025,2525202,2406236,3104,"$5.132,56",59,,,,,,,,,,,,,,,
BXJDHA00020739,31/10/2018,04,quarta-feira,Google Search,2222140,1229778,1141090,1337,"$2.208,74",45,,,,,,,,,,,,,,,
BXJDHA00014895,24/11/2018,05,sábado,Google Search,2454545,1395398,1311065,1564,"$2.582,23",53,,,,,,,,,,,,,,,
BXJDHA00014168,21/11/2018,04,quarta-feira,Google Search,2350261,1312794,1229032,1411,"$2.325,12",38,,,,,,,,,,,,,,,
BXJDHA00010419,14/10/2018,05,domingo,Google Search,2459215,1355329,1283198,1476,"$2.430,00",50,,,,,,,,,,,,,,,
BXJDHA00008882,08/10/2018,05,segunda-feira,Google Search,2509727,1352692,1287263,1348,"$2.212,65",36,,,,,,,,,,,,,,,
BXJDHA00022640,12/11/2018,04,segunda-feira,Google Search,2312840,1318124,1212770,1289,"$2.115,02",35,,,,,,,,,,,,,,,
BXJDHA00025611,19/10/2018,06,sexta-feira,Google Search,3064121,1810233,1717191,2438,"$3.995,90",83,,,,,,,,,,,,,,,
BXJDHA00014280,18/11/2018,06,domingo,Google Search,4583447,2637723,2500652,3495,"$5.727,61",108,,,,,,,,,,,,,,,
BXJDHA00014987,24/11/2018,03,sábado,Google Search,2671605,1518045,1419950,1498,"$2.452,10",18,,,,,,,,,,,,,,,
BXJDHA00017909,13/10/2018,05,sábado,Google Search,2157257,1249305,1187824,1245,"$2.036,45",15,,,,,,,,,,,,,,,
BXJDHA00018497,11/10/2018,04,quinta-feira,Google Search,2552460,1358738,1287363,1338,"$2.184,63",16,,,,,,,,,,,,,,,
BXJDHA00019345,25/10/2018,04,quinta-feira,Google Search,2431371,1326481,1234567,1306,"$2.128,28",20,,,,,,,,,,,,,,,
BXJDHA00015171,22/11/2018,03,quinta-feira,Google Search,3084812,1701021,1596908,1754,"$2.857,93",60,,,,,,,,,,,,,,,
BXJDHA00009422,09/10/2018,03,terça-feira,Google Search,2985202,1623389,1544251,1533,"$2.495,13",41,,,,,,,,,,,,,,,
BXJDHA00023022,13/11/2018,04,terça-feira,Google Search,2257153,1271715,1175322,1259,"$2.048,79",39,,,,,,,,,,,,,,,
BXJDHA00008804,08/10/2018,04,segunda-feira,Google Search,2354617,1265079,1201096,1135,"$1.846,42",31,,,,,,,,,,,,,,,
BXJDHA00012702,06/11/2018,05,terça-feira,Google Search,2779648,1368325,1289816,1449,"$2.349,72",45,,,,,,,,,,,,,,,
BXJDHA00011326,04/11/2018,05,domingo,Google Search,2327099,1355734,1288441,1528,"$2.477,01",29,,,,,,,,,,,,,,,
BXJDHA00009386,09/10/2018,06,terça-feira,Google Search,3942558,2146774,2052451,2592,"$4.200,16",70,,,,,,,,,,,,,,,
BXJDHA00015187,22/11/2018,05,quinta-feira,Google Search,2586251,1390203,1305076,1628,"$2.636,15",24,,,,,,,,,,,,,,,
BXJDHA00021011,01/11/2018,04,quinta-feira,Google Search,2277899,1297611,1212945,1305,"$2.111,19",16,,,,,,,,,,,,,,,
BXJDHA00019298,25/10/2018,06,quinta-feira,Google Search,3725592,2245972,2129676,3003,"$4.857,51",81,,,,,,,,,,,,,,,
BXJDHA00022496,12/11/2018,06,segunda-feira,Google Search,4519785,2646597,2493875,3469,"$5.608,77",94,,,,,,,,,,,,,,,
BXJDHA00018017,13/10/2018,03,sábado,Google Search,2518856,1509266,1427062,1565,"$2.529,55",19,,,,,,,,,,,,,,,
BXJDHA00014099,21/11/2018,05,quarta-feira,Google Search,2689709,1514226,1421292,1803,"$2.912,88",22,,,,,,,,,,,,,,,
BXJDHA00017899,13/10/2018,06,sábado,Google Search,3489649,2043496,1954990,2543,"$4.103,29",38,,,,,,,,,,,,,,,
BXJDHA00014847,23/11/2018,12,sexta-feira,YouTube,1467,233,232,1,"$1,61",0,,,,,,,,,,,,,,,
BXJDHA00011008,27/10/2018,06,sábado,Google Search,3958273,2351268,2229033,2908,"$4.684,52",55,,,,,,,,,,,,,,,
BXJDHA00017999,13/10/2018,04,sábado,Google Search,2030197,1172289,1108909,1086,"$1.748,56",13,,,,,,,,,,,,,,,
BXJDHA00015752,19/09/2018,03,quarta-feira,Google Search,2468391,1342347,1265780,1250,"$2.011,92",34,,,,,,,,,,,,,,,
BXJDHA00020201,23/10/2018,06,terça-feira,Google Search,4054965,2369408,2262238,3013,"$4.848,25",36,,,,,,,,,,,,,,,
BXJDHA00009956,16/10/2018,06,terça-feira,Google Search,3595364,2089527,1995787,2729,"$4.387,15",74,,,,,,,,,,,,,,,
BXJDHA00025057,29/09/2018,05,sábado,Google Search,2570858,1423416,1364680,1663,"$2.671,17",25,,,,,,,,,,,,,,,
BXJDHA00010822,28/10/2018,04,domingo,Google Search,2523058,1155011,1084064,1231,"$1.976,36",23,,,,,,,,,,,,,,,
BXJDHA00019872,22/10/2018,02,segunda-feira,Google Search,3594697,2161889,2056323,2289,"$3.672,48",71,,,,,,,,,,,,,,,
BXJDHA00023009,13/11/2018,03,terça-feira,Google Search,2699377,1588281,1482106,1734,"$2.779,41",21,,,,,,,,,,,,,,,
